comparison_track_id,comparison_track_label,timestamp_utc,hour,epsilon,ocean_cell_count,kl_divergence
deterministic,OpenDrift deterministic,2016-09-18T00:00:00Z,24,1e-10,25600,0.0
deterministic,OpenDrift deterministic,2016-09-19T00:00:00Z,48,1e-10,25600,15.04018322297185
deterministic,OpenDrift deterministic,2016-09-20T00:00:00Z,72,1e-10,25600,0.9606946180700878
ensemble_p50,OpenDrift p50 occupancy footprint,2016-09-18T00:00:00Z,24,1e-10,25600,2.197218935212566
ensemble_p50,OpenDrift p50 occupancy footprint,2016-09-19T00:00:00Z,48,1e-10,25600,2.0814772746211485
ensemble_p50,OpenDrift p50 occupancy footprint,2016-09-20T00:00:00Z,72,1e-10,25600,2.7682883342449616
ensemble_p90,OpenDrift p90 occupancy footprint,2016-09-18T00:00:00Z,24,1e-10,25600,2.0794362031686138
ensemble_p90,OpenDrift p90 occupancy footprint,2016-09-19T00:00:00Z,48,1e-10,25600,2.0124845817906807
ensemble_p90,OpenDrift p90 occupancy footprint,2016-09-20T00:00:00Z,72,1e-10,25600,2.605769826827319
